名前,父,母
Bayardo,Bay Ronald,Galicia
Bay Ronald,Hampton,Black Duchess
Hampton,Lord Clifden,Lady Langden
Lord Clifden,Newminster,The Slave
Newminster,Touchstone,Beeswing
The Slave,Melbourne,Volley
Lady Langden,Kettledrum,Haricot
Kettledrum,Rataplan,Hybla
Haricot,Lanercost,Queen Mary
Black Duchess,Galliard,Black Corrie
Galliard,Galopin,Mavis
Galopin,Vedette,Flying Duchess
Mavis,Macaroni,Merlette
Black Corrie,Sterling,Wild Dayrell Mare
Sterling,Oxford,Whisper
Wild Dayrell Mare,Wild Dayrell,Lady Lurewell
Galicia,Galopin,Isoletta
Vedette,Voltigeur,Mrs. Ridgway
Voltigeur,Voltaire,Martha Lynn
Mrs. Ridgway,Birdcatcher,Nan Darrell
Flying Duchess,The Flying Dutchman,Merope
The Flying Dutchman,Bay Middleton,Barbelle
Merope,Voltaire,Juniper Mare
Isoletta,Isonomy,Lady Muncaster
Isonomy,Sterling,Isola Bella
Isola Bella,Stockwell,Isoline
Lady Muncaster,Muncaster,Blue Light
Muncaster,Doncaster,Windermere
Blue Light,Rataplan,Borealis
