名前,父,母
Bellini,Cavaliere d'Arpino,Bella Minna
Cavaliere d'Arpino,Havresac,Chuette
Havresac,Rabelais,Hors Concours
Rabelais,St. Simon,Satirical
St. Simon,Galopin,St. Angela
Satirical,Satiety,Chaff
Hors Concours,Ajax,Simona
Ajax,Flying Fox,Amie
Simona,St. Simon,Flying Footstep
Chuette,Cicero,Chute
Cicero,Cyllene,Gas
Cyllene,Bona Vista,Arcadia
Gas,Ayrshire,Illuminata
Chute,Carbine,Weir
Carbine,Musket,Mersey
Weir,Galopin,Dee
Bella Minna,Bachelor's Double,Santa Minna
Bachelor's Double,Tredennis,Lady Bawn
Tredennis,Kendal,St. Marguerite
Kendal,Bend Or,Windermere
St. Marguerite,Hermit,Devotion
Lady Bawn,Le Noir,Milady
Le Noir,Isonomy,Knavery
Milady,Kisber,Alone
Santa Minna,Santoi,Minnow
Santoi,Queen's Birthday,Merry Wife
Queen's Birthday,Hagioscope,Matilda
Merry Wife,Merry Hampton,Connie
Minnow,William the Third,Mino
William the Third,St. Simon,Gravity
Mino,Minting,Buy a Broom
