名前,父,母
Blue Dun,Blue Train,Dunure
Blue Train,Blue Peter,Sun Chariot
Blue Peter,Fairway,Fancy Free
Fairway,Phalaris,Scapa Flow
Phalaris,Polymelus,Bromus
Scapa Flow,Chaucer,Anchora
Fancy Free,Stefan the Great,Celiba
Stefan the Great,The Tetrarch,Perfect Peach
Celiba,Bachelor's Double,Santa Maura
Sun Chariot,Hyperion,Clarence
Hyperion,Gainsborough,Selene
Gainsborough,Bayardo,Rosedrop
Selene,Chaucer,Serenissima
Clarence,Diligence,Nun's Veil
Diligence,Hurry On,Ecurie
Nun's Veil,Friar Marcus,Blanche
Dunure,Umidwar,Carrick Shore
Umidwar,Blandford,Uganda
Blandford,Swynford,Blanche
Swynford,John o'Gaunt,Canterbury Pilgrim
Blanche,White Eagle,Black Cherry
Uganda,Bridaine,Hush
Bridaine,Gorgos,Bitter Orange
Hush,St. Serf,Silent Lady
Carrick Shore,Kirk-Alloway,Terre de Sienne
Kirk-Alloway,Tracery,Cantrip
Tracery,Rock Sand,Topiary
Cantrip,Desmond,Pawky
Terre de Sienne,Alcantara,Basse Terre
Alcantara,Perth,Toison d'or
Basse Terre,Omnium,Bijou
