名前,父,母
Bona Vista,Bend Or,Vista
Bend Or,Doncaster,Rouge Rose
Doncaster,Stockwell,Marigold
Stockwell,The Baron,Pocahontas
The Baron,Birdcatcher,Echidna
Pocahontas,Glencoe,Marpessa
Marigold,Teddington,Ratan Mare
Teddington,Orlando,Miss Twickenham
Ratan Mare,Ratan,Melbourne Mare
Rouge Rose,Thormanby,Ellen Horne
Thormanby,Windhound,Alice Hawthorn
Windhound,Pantaloon,Phryne
Alice Hawthorn,Muley Moloch,Rebecca
Ellen Horne,Redshank,Delhi
Redshank,Sandbeck,Johanna
Delhi,Plenipotentiary,Pawn Junior
Vista,Macaroni,Verdure
Macaroni,Sweetmeat,Jocose
Sweetmeat,Gladiator,Lollypop
Gladiator,Partisan,Pauline
Lollypop,Voltaire,Belinda
Jocose,Pantaloon,Banter
Pantaloon,Castrel,Idalia
Banter,Master Henry,Boadicea
Verdure,King Tom,May Bloom
King Tom,Harkaway,Pocahontas
Harkaway,Economist,Nabocklish Mare
May Bloom,Newminster,Lady Hawthorn
Newminster,Touchstone,Beeswing
Lady Hawthorn,Windhound,Alice Hawthorn
