名前,父,母
Comus,Sorcerer,Houghton Lass
Sorcerer,Trumpator,Young Giantess
Trumpator,Conductor,Brunette
Conductor,Matchem,Snap Mare
Matchem,Cade,Partner Mare
Snap Mare,Snap,Diana
Brunette,Squirrel,Dove
Squirrel,Traveller,Grey Bloody Buttocks
Dove,Matchless,Starling Mare
Young Giantess,Diomed,Giantess
Diomed,Florizel,Sister to Juno
Florizel,Herod,Cygnet Mare
Sister to Juno,Spectator,Horatia
Giantess,Matchem,Molly Long Legs
Molly Long Legs,Babraham,Foxhunter Mare
Houghton Lass,Sir Peter Teazle,Alexina
Sir Peter Teazle,Highflyer,Papillon
Highflyer,Herod,Rachel
Herod,Tartar,Cypron
Rachel,Blank,Regulus Mare
Papillon,Snap,Miss Cleveland
Snap,Snip,Sister to Slipby
Miss Cleveland,Regulus,Midge
Alexina,King Fergus,Lardella
King Fergus,Eclipse,Polly
Eclipse,Marske,Spilletta
Polly,Othello,Fanny
Lardella,Young Marske,Cade Mare[Hutton's]
Young Marske,Marske,Blank Mare
Cade Mare[Hutton's],Cade,Brother to Fearnought Mare
