名前,父,母
Devil's Bag,Halo,Ballade
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Source Sucree,Admiral Drake,Lavendula
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Galla Colors,Sir Gallahad,Rouge et Noir
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Pharamond,Phalaris,Selene
Banish Fear,Blue Larkspur,Herodiade
Almahmoud,Mahmoud,Arbitrator
Mahmoud,Blenheim,Mah Mahal
Arbitrator,Peace Chance,Mother Goose
Ballade,Herbager,Miss Swapsco
Herbager,Vandale,Flagette
Vandale,Plassy,Vanille
Plassy,Bosworth,Pladda
Vanille,La Farina,Vaya
Flagette,Escamillo,Fidgette
Escamillo,Firdaussi,Estoril
Fidgette,Firdaussi,Boxeuse
Miss Swapsco,Cohoes,Soaring
Cohoes,Mahmoud,Belle of Troy
Belle of Troy,Blue Larkspur,La Troienne
Soaring,Swaps,Skylarking
Swaps,Khaled,Iron Reward
Skylarking,Mirza,Jennie
