名前,父,母
Eclipse,Marske,Spilletta
Marske,Squirt,Hutton's Blacklegs Mare
Squirt,Bartlet's Childers,Snake Mare
Bartlet's Childers,ダーレーアラビアン,Betty Leedes
ダーレーアラビアン,unknown,unknown
Betty Leedes,Old Careless,Cream Cheeks
Snake Mare,Snake,Grey Wilkes
Snake,Lister Turk,Hautboy Mare
Grey Wilkes,Hautboy,Miss Darcys Pet Mare
Hutton's Blacklegs Mare,Hutton's Blacklegs,Bay Bolton Mare
Hutton's Blacklegs,Hutton's Bay Turk,Coneyskins Mare
Hutton's Bay Turk,unknown,unknown
Coneyskins Mare,Coneyskins,Clubfoot
Bay Bolton Mare,Bay Bolton,Fox Cub Mare
Bay Bolton,Grey Hautboy,Pierson's Makeless Mare
Fox Cub Mare,Fox Cub,Coneyskins Mare
Spilletta,Regulus,Mother Western
Regulus,ゴドルフィンバルブ,Grey Robinson
ゴドルフィンバルブ,unknown,unknown
unknown,unknown,unknown
Grey Robinson,Bald Galloway,Snake Mare
Bald Galloway,St.Victor's Barb,Grey Whynot
Mother Western,Easby Snake,Old Montagu Mare
Easby Snake,Snake,Sister to Chaunter
Sister to Chaunter,Akaster Turk,Cream Cheeks
Old Montagu Mare,Lor. d'Arcy's Old Montagu,Hautboy Mare
Lor. d'Arcy's Old Montagu,unknown,unknown
Hautboy Mare,Hautboy,Brimmer Mare
