名前,父,母
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Nearco,Pharos,Nogara
Sun Princess,Solario,Mumtaz Begum
Source Sucree,Admiral Drake,Lavendula
Admiral Drake,Craig an Eran,Plucky Liege
Lavendula,Pharos,Sweet Lavender
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Blue Larkspur,Black Servant,Blossom Time
Flaming Swords,Man o'War,Exalted
Galla Colors,Sir Gallahad,Rouge et Noir
Sir Gallahad,Teddy,Plucky Liege
Rouge et Noir,St. Germans,Baton Rouge
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Pharamond,Phalaris,Selene
Phalaris,Polymelus,Bromus
Selene,Chaucer,Serenissima
Banish Fear,Blue Larkspur,Herodiade
Herodiade,Over There,Herodias
Almahmoud,Mahmoud,Arbitrator
Mahmoud,Blenheim,Mah Mahal
Blenheim,Blandford,Malva
Mah Mahal,Gainsborough,Mumtaz Mahal
Arbitrator,Peace Chance,Mother Goose
Peace Chance,Chance Shot,Peace
Mother Goose,Chicle,Flying Witch
