名前,父,母
Ksar,Bruleur,Kizil Kourgan
Bruleur,Chouberski,Basse Terre
Chouberski,Gardefeu,Campanule
Gardefeu,Cambyse,Bougie
Cambyse,Androcles,Cambuse
Bougie,Bruce,La Lumiere
Campanule,The Bard,Saint Lucia
The Bard,Petrarch,Magdalene
Saint Lucia,Rosicrucian,Rose of Tralee
Basse Terre,Omnium,Bijou
Omnium,Upas,Bluette
Upas,Dollar,Rosemary
Bluette,Wellingtonia,Blue Serge
Bijou,St. Gatien,Thora
St. Gatien,The Rover,Saint Editha
Thora,Doncaster,Freia
Kizil Kourgan,Omnium,Kasbah
Dollar,The Flying Dutchman,Payment
Rosemary,Skirmisher,Vertumna
Wellingtonia,Chattanooga,Araucaria
Blue Serge,Hermit,Blue Sleeves
Kasbah,Vigilant,Katia
Vigilant,Vermouth,Virgule
Vermouth,The Nabob,Vermeille
Virgule,Saunterer,Violet
Katia,Guy Dayrell,Keapsake
Guy Dayrell,Wild Dayrell,Reginella
Keapsake,Gladiateur,Humming Bird
