名前,父,母
Marske,Squirt,Hutton's Blacklegs Mare
Squirt,Bartlet's Childers,Snake Mare
Bartlet's Childers,Darley Arabian,Betty Leedes
Darley Arabian,unknown,unknown
unknown,unknown,unknown
Betty Leedes,Old Careless,Cream Cheeks
Old Careless,Spanker,unknown
Cream Cheeks,Leedes Arabian,Spanker Mare
Snake Mare,Snake,Grey Wilkes
Snake,Lister Turk,Hautboy Mare
Lister Turk,unknown,unknown
Hautboy Mare,Hautboy,Brimmer Mare
Grey Wilkes,Hautboy,Miss Darcys Pet Mare
Hautboy,Darcy's White Turk,Royal Mare
Miss Darcys Pet Mare,unknown,Sedbury Royal Mare
Hutton's Blacklegs Mare,Hutton's Blacklegs,Bay Bolton Mare
Hutton's Blacklegs,Hutton's Bay Turk,Coneyskins Mare
Hutton's Bay Turk,unknown,unknown
Coneyskins Mare,Coneyskins,Clubfoot
Coneyskins,Lister Turk,Coneyskins Dam
Clubfoot,Hautboy,Old Clubfoot
Bay Bolton Mare,Bay Bolton,Fox Cub Mare
Bay Bolton,Grey Hautboy,Pierson's Makeless Mare
Grey Hautboy,Hautboy,unknown
Pierson's Makeless Mare,Makeless,Brimmer Mare
Fox Cub Mare,Fox Cub,Coneyskins Mare
Fox Cub,Clumsey,unknown
