名前,父,母
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Cyllene,Bona Vista,Arcadia
Maid Marian,Hampton,Quiver
Bromus,Sainfoin,Cheery
Sainfoin,Springfield,Sanda
Cheery,St. Simon,Sunrise
Scapa Flow,Chaucer,Anchora
Chaucer,St. Simon,Canterbury Pilgrim
St. Simon,Galopin,St. Angela
Canterbury Pilgrim,Tristan,Pilgrimage
Anchora,Love Wisely,Eryholme
Love Wisely,Wisdom,Lovelorn
Eryholme,Hazlehatch,Ayrsmoss
Nogara,Havresac,Catnip
Havresac,Rabelais,Hors Concours
Rabelais,St. Simon,Satirical
Satirical,Satiety,Chaff
Hors Concours,Ajax,Simona
Ajax,Flying Fox,Amie
Simona,St. Simon,Flying Footstep
Catnip,Spearmint,Sibola
Spearmint,Carbine,Maid of the Mint
Carbine,Musket,Mersey
Maid of the Mint,Minting,Warble
Sibola,The Sailor Prince,Saluda
The Sailor Prince,Albert Victor,Hermita
Saluda,Mortemer,Perfection
