名前,父,母
Ormonde,Bend Or,Lily Agnes
Bend Or,Doncaster,Rouge Rose
Doncaster,Stockwell,Marigold
Stockwell,The Baron,Pocahontas
The Baron,Birdcatcher,Echidna
Pocahontas,Glencoe,Marpessa
Marigold,Teddington,Ratan Mare
Teddington,Orlando,Miss Twickenham
Ratan Mare,Ratan,Melbourne Mare
Rouge Rose,Thormanby,Ellen Horne
Thormanby,Windhound,Alice Hawthorn
Windhound,Pantaloon,Phryne
Alice Hawthorn,Muley Moloch,Rebecca
Ellen Horne,Redshank,Delhi
Redshank,Sandbeck,Johanna
Delhi,Plenipotentiary,Pawn Junior
Lily Agnes,Macaroni,Polly Agnes
Macaroni,Sweetmeat,Jocose
Sweetmeat,Gladiator,Lollypop
Gladiator,Partisan,Pauline
Lollypop,Voltaire,Belinda
Jocose,Pantaloon,Banter
Pantaloon,Castrel,Idalia
Banter,Master Henry,Boadicea
Polly Agnes,The Cure,Miss Agnes
The Cure,Physician,Morsel
Physician,Brutandorf,Primette
Morsel,Mulatto,Linda
Miss Agnes,Birdcatcher,Agnes
Birdcatcher,Sir Hercules,Guiccioli
Agnes,Clarion,Annette
