名前,父,母
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Cyllene,Bona Vista,Arcadia
Bona Vista,Bend Or,Vista
Bend Or,Doncaster,Rouge Rose
Vista,Macaroni,Verdure
Arcadia,Isonomy,Distant Shore
Isonomy,Sterling,Isola Bella
Distant Shore,Hermit,Land's End
Maid Marian,Hampton,Quiver
Hampton,Lord Clifden,Lady Langden
Lord Clifden,Newminster,The Slave
Lady Langden,Kettledrum,Haricot
Quiver,Toxophilite,Young Melbourne Mare
Toxophilite,Longbow,Legerdemain
Young Melbourne Mare,Young Melbourne,Brown Bess
Bromus,Sainfoin,Cheery
Sainfoin,Springfield,Sanda
Springfield,St. Albans,Viridis
St. Albans,Stockwell,Bribery
Viridis,Marsyas,Maid of Palmyra
Sanda,Wenlock,Sandal
Wenlock,Lord Clifden,Mineral
Sandal,Stockwell,Lady Evelyn
Cheery,St. Simon,Sunrise
St. Simon,Galopin,St. Angela
Galopin,Vedette,Flying Duchess
St. Angela,King Tom,Adeline
Sunrise,Springfield,Sunray
Sunray,King of the Forest,Sunshine
