名前,父,母
Polymelus,Cyllene,Maid Marian
Cyllene,Bona Vista,Arcadia
Bona Vista,Bend Or,Vista
Bend Or,Doncaster,Rouge Rose
Doncaster,Stockwell,Marigold
Rouge Rose,Thormanby,Ellen Horne
Vista,Macaroni,Verdure
Macaroni,Sweetmeat,Jocose
Verdure,King Tom,May Bloom
Arcadia,Isonomy,Distant Shore
Isonomy,Sterling,Isola Bella
Sterling,Oxford,Whisper
Isola Bella,Stockwell,Isoline
Distant Shore,Hermit,Land's End
Hermit,Newminster,Seclusion
Land's End,Trumpeter,Faraway
Maid Marian,Hampton,Quiver
Hampton,Lord Clifden,Lady Langden
Lord Clifden,Newminster,The Slave
Newminster,Touchstone,Beeswing
The Slave,Melbourne,Volley
Lady Langden,Kettledrum,Haricot
Kettledrum,Rataplan,Hybla
Haricot,Lanercost,Queen Mary
Quiver,Toxophilite,Young Melbourne Mare
Toxophilite,Longbow,Legerdemain
Longbow,Ithuriel,Miss Bowe
Legerdemain,Pantaloon,Decoy
Young Melbourne Mare,Young Melbourne,Brown Bess
Young Melbourne,Melbourne,Clarissa
Brown Bess,Camel,Brutandorf Mare
