名前,父,母
Pot-8-Os,Eclipse,Sportsmistress
Eclipse,Marske,Spilletta
Marske,Squirt,Hutton's blacklegs Mare
Squirt,Bartlet's Childers,Snake Mare
Bartlet's Childers,ダーレーアラビアン,Betty Leedes
Snake Mare,Snake,Grey Wilkes
Hutton's blacklegs Mare,Hutton's Blacklegs,Bay Bolton Mare
Hutton's Blacklegs,Hutton's Bay Turk,Coneyskins Mare
Bay Bolton Mare,Bay Bolton,Fox Cub Mare
Spilletta,Regulus,Mother Western
Regulus,ゴドルフィンバルブ,Grey Robinson
ゴドルフィンバルブ,unknown,unknown
Grey Robinson,Bald Galloway,Snake Mare
Mother Western,Easby Snake,Old Montagu Mare
Easby Snake,Snake,Sister to Chaunter
Old Montagu Mare,Lor. d'Arcy's Old Montagu,Hautboy Mare
Sportsmistress,Sportsman,Golden Locks
Sportsman,Cade,Silvertail
Cade,ゴドルフィンバルブ,Roxana
Roxana,Bald Galloway,Sister to Chaunter
Silvertail,Heneages Whitenose,Rattle Mare
Heneages Whitenose,unknown,unknown
Rattle Mare,Rattle,Darley Arabian Mare
Golden Locks,Oroonoko,Crab Mare
Oroonoko,Crab,Miss Slamerkin
Crab,Alcock Arabian,Sister to Soreheels
Miss Slamerkin,Young True Blue,Dun Arabian Mare
Crab Mare,Crab,Partner Mare
Partner Mare,Croft's Partner,Thwaite's Dam Mare
