名前,父,母
Red Ray,Hyperion,Infra Red
Hyperion,Gainsborough,Selene
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Bay Ronald,Hampton,Black Duchess
Galicia,Galopin,Isoletta
Rosedrop,St. Frusquin,Rosaline
St. Frusquin,St. Simon,Isabel
Rosaline,Trenton,Rosalys
Selene,Chaucer,Serenissima
Chaucer,St. Simon,Canterbury Pilgrim
St. Simon,Galopin,St. Angela
Canterbury Pilgrim,Tristan,Pilgrimage
Serenissima,Minoru,Gondolette
Minoru,Cyllene,Mother Siegel
Gondolette,Loved One,Dongola
Infra Red,Ethnarch,Black Ray
Ethnarch,The Tetrarch,Karenza
The Tetrarch,Roi Herode,Vahren
Roi Herode,Le Samaritain,Roxelane
Vahren,Bona Vista,Castania
Karenza,William the Third,Cassinia
William the Third,St. Simon,Gravity
Cassinia,Carbine,Scene
Black Ray,Black Jester,Lady Brilliant
Black Jester,Polymelus,Absurdity
Polymelus,Cyllene,Maid Marian
Absurdity,Melton,Paradoxical
Lady Brilliant,Sundridge,Our Lassie
Sundridge,Amphion,Sierra
Our Lassie,Ayrshire,Yours
