名前,父,母
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Nearco,Pharos,Nogara
Sun Princess,Solario,Mumtaz Begum
Source Sucree,Admiral Drake,Lavendula
Admiral Drake,Craig an Eran,Plucky Liege
Lavendula,Pharos,Sweet Lavender
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Blue Larkspur,Black Servant,Blossom Time
Flaming Swords,Man o'War,Exalted
Galla Colors,Sir Gallahad,Rouge et Noir
Sir Gallahad,Teddy,Plucky Liege
Rouge et Noir,St. Germans,Baton Rouge
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Nasrullah,Nearco,Mumtaz Begum
Mumtaz Begum,Blenheim,Mumtaz Mahal
Segula,Johnstown,Sekhmet
Johnstown,Jamestown,La France
Sekhmet,Sardanapale,Prosopopee
Rarelea,Bull Lea,Bleebok
Bull Lea,Bull Dog,Rose Leaves
Bull Dog,Teddy,Plucky Liege
Rose Leaves,Ballot,Colonial
Bleebok,Blue Larkspur,Forteresse
Forteresse,Sardanapale,Guerriere
