名前,父,母
Silver Hawk,Roberto,Gris Vitesse
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Source Sucree,Admiral Drake,Lavendula
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Galla Colors,Sir Gallahad,Rouge et Noir
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Nasrullah,Nearco,Mumtaz Begum
Segula,Johnstown,Sekhmet
Rarelea,Bull Lea,Bleebok
Bull Lea,Bull Dog,Rose Leaves
Bleebok,Blue Larkspur,Forteresse
Gris Vitesse,Amerigo,Matchiche
Amerigo,Nearco,Sanlinea
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Nogara,Havresac,Catnip
Sanlinea,Precipitation,Sun Helmet
Precipitation,Hurry On,Double Life
Sun Helmet,Hyperion,Point Duty
Matchiche,Mat de Cocagne,Chimere Fabuleuse
Mat de Cocagne,Birikil,Fascine
Birikil,Biribi,Kill Lady
Fascine,Fastnet,Mistigrise
Chimere Fabuleuse,Coaraze,Nine
Coaraze,Tourbillon,Corrida
Nine,Nino,Iordane
