名前,父,母
Sir Hercules,Whalebone,Peri
Whalebone,Waxy,Penelope
Waxy,Pot-8-Os,Maria III
Pot-8-Os,Eclipse,Sportsmistress
Eclipse,Marske,Spilletta
Sportsmistress,Sportsman,Golden Locks
Maria III,Herod,Lisette
Herod,Tartar,Cypron
Lisette,Snap,Miss Windsor
Penelope,Trumpator,Prunella
Trumpator,Conductor,Brunette
Conductor,Matchem,Snap Mare
Brunette,Squirrel,Dove
Prunella,Highflyer,Promise
Highflyer,Herod,Rachel
Promise,Snap,Julia
Peri,Wanderer,Thalestris
Wanderer,Gohanna,Catherine
Gohanna,Mercury,Dundas Herod Mare
Mercury,Eclipse,Tartar Mare
Dundas Herod Mare,Herod,Maiden
Catherine,Woodpecker,Camilla
Woodpecker,Herod,Miss Ramsden
Camilla,Trentham,Coquette
Thalestris,Alexander,Rival
Alexander,Eclipse,Grecian Princess
Grecian Princess,William's Forester,Coalition Colt Mare
Rival,Sir Peter Teazle,Hornet
Sir Peter Teazle,Highflyer,Papillon
Hornet,Drone,Manilla
