名前,父,母
Spendthrift,Australian,Aerolite
Australian,West Australian,Emilia
West Australian,Melbourne,Mowerina
Melbourne,Humphrey Clinker,Cervantes Mare
Humphrey Clinker,Comus,Clinkerina
Cervantes Mare,Cervantes,Emma
Mowerina,Touchstone,Emma
Touchstone,Camel,Banter
Emma,Whisker,Gibside Fairy
Emilia,Y. Emilius,Persian
Y. Emilius,Emilius,Shoveler
Emilius,Orville,Emily
Shoveler,Scud,Goosander
Persian,Whisker,Variety
Whisker,Waxy,Penelope
Variety,Soothsayer,Sprite
Aerolite,Lexington,Florine
Lexington,Boston,Alice Carneal
Boston,Timoleon,Sister to Tuckahoe
Timoleon,Sir Archy,Saltram Mare
Sister to Tuckahoe,Balls Florizel,Alderman Mare
Alice Carneal,Sarpedon,Rowena
Sarpedon,Emilius,Icaria
Rowena,Sumpter,Lady Grey
Florine,Glencoe,Melody
Glencoe,Sultan,Trampoline
Sultan,Selim,Bacchante
Trampoline,Tramp,Web
Melody,Medoc,Haxall's Moses Mare
Medoc,American Eclipse,Young Maid of the Oaks
Haxall's Moses Mare,Haxall's Moses,Whip Mare
