名前,父,母
Squirt,Bartlet's Childers,Snake Mare
Bartlet's Childers,Darley Arabian,Betty Leedes
Darley Arabian,unknown,unknown
unknown,unknown,unknown
Betty Leedes,Old Careless,Cream Cheeks
Old Careless,Spanker,unknown
Spanker,D'Arcy's Yellow Turk,Old Morocco Mare
Cream Cheeks,Leedes Arabian,Spanker Mare
Leedes Arabian,unknown,unknown
Spanker Mare,Spanker,Old Morocco Mare
Snake Mare,Snake,Grey Wilkes
Snake,Lister Turk,Hautboy Mare
Lister Turk,unknown,unknown
Hautboy Mare,Hautboy,Brimmer Mare
Hautboy,Darcy's White Turk,Royal Mare
Brimmer Mare,Brimmer,Royal Mare
Grey Wilkes,Hautboy,Miss Darcys Pet Mare
Darcy's White Turk,unknown,unknown
Royal Mare,unknown,unknown
Miss Darcys Pet Mare,unknown,Sedbury Royal Mare
Sedbury Royal Mare,unknown,unknown
