名前,父,母
Stockwell,The Baron,Pocahontas
The Baron,Birdcatcher,Echidna
Birdcatcher,Sir Hercules,Guiccioli
Sir Hercules,Whalebone,Peri
Whalebone,Waxy,Penelope
Peri,Wanderer,Thalestris
Guiccioli,Bob Booty,Flight
Bob Booty,Chanticleer,Ierne
Flight,Escape,Y. Heroine
Echidna,Economist,Miss Pratt
Economist,Whisker,Floranthe
Whisker,Waxy,Penelope
Floranthe,Octavian,Caprice
Miss Pratt,Blacklock,Gadabout
Blacklock,Whitelock,Coriander Mare
Gadabout,Orville,Minstrel
Pocahontas,Glencoe,Marpessa
Glencoe,Sultan,Trampoline
Sultan,Selim,Bacchante
Selim,Buzzard,Alexander Mare
Bacchante,Williamson's Ditto,Mercury Mare
Trampoline,Tramp,Web
Tramp,Dick Andrews,Gohanna Mare
Web,Waxy,Penelope
Marpessa,Muley,Clare
Muley,Orville,Eleanor
Orville,Beningbrough,Evelina
Eleanor,Whiskey,Young Giantess
Clare,Marmion,Harpalice
Marmion,Whiskey,Young Noisette
Harpalice,Gohanna,Amazon
