名前,父,母
Touchstone,Camel,Banter
Camel,Whalebone,Selim Mare
Whalebone,Waxy,Penelope
Waxy,Pot-8-Os,Maria III
Pot-8-Os,Eclipse,Sportsmistress
Maria III,Herod,Lisette
Penelope,Trumpator,Prunella
Trumpator,Conductor,Brunette
Prunella,Highflyer,Promise
Selim Mare,Selim,Maiden
Selim,Buzzard,Alexander Mare
Buzzard,Woodpecker,Misfortune
Alexander Mare,Alexander,Highflyer Mare
Maiden,Matchem,Pratts Old Mare
Matchem,Cade,Partner Mare
Pratts Old Mare,Squirt,Mogul Mare
Banter,Master Henry,Boadicea
Master Henry,Orville,Miss Sophia
Orville,Beningbrough,Evelina
Beningbrough,King Fergus,Fenwick's Herod Mare
Evelina,Highflyer,Termagant
Miss Sophia,Stamford,Sophia
Stamford,Sir Peter Teazle,Horatia
Sophia,Buzzard,Huncamunca
Boadicea,Alexander,Brunette
Alexander,Eclipse,Grecian Princess
Eclipse,Marske,Spilletta
Grecian Princess,William's Forester,Coalition Colt Mare
Brunette,Amaranthus,Mayfly
Amaranthus,Old England,Second Mare
Mayfly,Matchem,Starling Mare
