名前,父,母
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Phalaris,Polymelus,Bromus
Scapa Flow,Chaucer,Anchora
Nogara,Havresac,Catnip
Havresac,Rabelais,Hors Concours
Catnip,Spearmint,Sibola
Sun Princess,Solario,Mumtaz Begum
Solario,Gainsborough,Sun Worship
Gainsborough,Bayardo,Rosedrop
Sun Worship,Sundridge,Doctrine
Mumtaz Begum,Blenheim,Mumtaz Mahal
Blenheim,Blandford,Malva
Mumtaz Mahal,The Tetrarch,Lady Josephine
Source Sucree,Admiral Drake,Lavendula
Admiral Drake,Craig an Eran,Plucky Liege
Craig an Eran,Sunstar,Maid of the Mist
Sunstar,Sundridge,Doris
Maid of the Mist,Cyllene,Sceptre
Plucky Liege,Spearmint,Concertina
Spearmint,Carbine,Maid of the Mint
Concertina,St. Simon,Comic Song
Lavendula,Pharos,Sweet Lavender
Sweet Lavender,Swynford,Marchetta
Swynford,John o'Gaunt,Canterbury Pilgrim
Marchetta,Marco,Hettie Sorrel
