名前,父,母
Woodpecker,Herod,Miss Ramsden
Herod,Tartar,Cypron
Tartar,Croft's Partner,Meliora
Croft's Partner,Jigg,Sister One to Mixbury
Jigg,バイアリーターク,Spanker Mare
Sister One to Mixbury,Curwen Bay Barb,Curwen Spot Mare
Meliora,Fox,Witty's Milkmaid
Fox,Clumsey,Bay Peg
Witty's Milkmaid,Snail,Shields Galloway
Cypron,Blaze,Salome
Blaze,Flying Childers,Confederate Filly
Flying Childers,ダーレーアラビアン,Betty Leedes
Confederate Filly,Grey Grantham,Rutland's Black Barb Mare
Salome,Bethell's Arabian,Champion mare
Bethell's Arabian,unknown,unknown
Champion mare,Graham's Champion,Darley Arabian Mare
Miss Ramsden,Cade,Lonsdale Bay Arabian Mare
Cade,ゴドルフィンバルブ,Roxana
ゴドルフィンバルブ,unknown,unknown
unknown,unknown,unknown
Roxana,Bald Galloway,Sister to Chaunter
Bald Galloway,St.Victor's Barb,Grey Whynot
Sister to Chaunter,Akaster Turk,Cream Cheeks
Lonsdale Bay Arabian Mare,Lonsdale Bay Arabian,Bay Bolton Mare
Lonsdale Bay Arabian,unknown,unknown
Bay Bolton Mare,Bay Bolton,Darley Arabian Mare
Bay Bolton,Grey Hautboy,Pierson's Makeless Mare
Darley Arabian Mare,ダーレーアラビアン,Byerley Turk Mare
