名前,ウマ娘順,サイゲURL,wikiURL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スペシャルウィーク,1,https://umamusume.jp/character/specialweek,https://ja.wikipedia.org/wiki/スペシャルウィーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サイレンススズカ,2,https://umamusume.jp/character/silencesuzuka,https://ja.wikipedia.org/wiki/サイレンススズカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トウカイテイオー,3,https://umamusume.jp/character/tokaiteio,https://ja.wikipedia.org/wiki/トウカイテイオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マルゼンスキー,4,https://umamusume.jp/character/maruzensky,https://ja.wikipedia.org/wiki/マルゼンスキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フジキセキ,5,https://umamusume.jp/character/fujikiseki,https://ja.wikipedia.org/wiki/フジキセキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オグリキャップ,6,https://umamusume.jp/character/oguricap,https://ja.wikipedia.org/wiki/オグリキャップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴールドシップ,7,https://umamusume.jp/character/goldship,https://ja.wikipedia.org/wiki/ゴールドシップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウオッカ,8,https://umamusume.jp/character/vodka,https://ja.wikipedia.org/wiki/ウオッカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダイワスカーレット,9,https://umamusume.jp/character/daiwascarlet,https://ja.wikipedia.org/wiki/ダイワスカーレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイキシャトル,10,https://umamusume.jp/character/taikishuttle,https://ja.wikipedia.org/wiki/タイキシャトル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グラスワンダー,11,https://umamusume.jp/character/grasswonder,https://ja.wikipedia.org/wiki/グラスワンダー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヒシアマゾン,12,https://umamusume.jp/character/hishiamazon,https://ja.wikipedia.org/wiki/ヒシアマゾン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
メジロマックイーン,13,https://umamusume.jp/character/mejiromcqueen,https://ja.wikipedia.org/wiki/メジロマックイーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エルコンドルパサー,14,"https://umamusume.jp/character/elcondorpasa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,https://umamusume.jp/character/elcondorpasa,https://ja.wikipedia.org/wiki/エルコンドルパサー
テイエムオペラオー,15,"https://umamusume.jp/character/tmoperao""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,https://umamusume.jp/character/tmoperao,https://ja.wikipedia.org/wiki/テイエムオペラオー
ナリタブライアン,16,"https://umamusume.jp/character/naritabrian""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,https://umamusume.jp/character/naritabrian,https://ja.wikipedia.org/wiki/ナリタブライアン
