名前,父,母
Artist's Proof,Gainsborough,Clear Evidence
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Bay Ronald,Hampton,Black Duchess
Hampton,Lord Clifden,Lady Langden
Black Duchess,Galliard,Black Corrie
Galicia,Galopin,Isoletta
Galopin,Vedette,Flying Duchess
Isoletta,Isonomy,Lady Muncaster
Rosedrop,St. Frusquin,Rosaline
St. Frusquin,St. Simon,Isabel
St. Simon,Galopin,St. Angela
Isabel,Plebeian,Parma
Rosaline,Trenton,Rosalys
Trenton,Musket,Frailty
Rosalys,Bend Or,Rosa May
Clear Evidence,Tracery,Honora
Tracery,Rock Sand,Topiary
Rock Sand,Sainfoin,Roquebrune
Sainfoin,Springfield,Sanda
Roquebrune,St. Simon,St. Marguerite
Topiary,Orme,Plaisanterie
Orme,Ormonde,Angelica
Plaisanterie,Wellingtonia,Poetess
Honora,Gallinule,Word of Honour
Gallinule,Isonomy,Moorhen
Isonomy,Sterling,Isola Bella
Moorhen,Hermit,Skirmisher Mare
Word of Honour,Saraband,Geheimniss
Saraband,Muncaster,Highland Fling
Geheimniss,Rosicrucian,Nameless
