名前,父,母
Aurora,Hyperion,Rose Red
Hyperion,Gainsborough,Selene
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Bay Ronald,Hampton,Black Duchess
Galicia,Galopin,Isoletta
Rosedrop,St. Frusquin,Rosaline
St. Frusquin,St. Simon,Isabel
Rosaline,Trenton,Rosalys
Selene,Chaucer,Serenissima
Chaucer,St. Simon,Canterbury Pilgrim
St. Simon,Galopin,St. Angela
Canterbury Pilgrim,Tristan,Pilgrimage
Serenissima,Minoru,Gondolette
Minoru,Cyllene,Mother Siegel
Gondolette,Loved One,Dongola
Rose Red,Swynford,Marchetta
Swynford,John o'Gaunt,Canterbury Pilgrim
John o'Gaunt,Isinglass,La Fleche
Isinglass,Isonomy,Dead Lock
La Fleche,St. Simon,Quiver
Tristan,Hermit,Thrift
Pilgrimage,The Palmer,Lady Audley
Marchetta,Marco,Hettie Sorrel
Marco,Barcaldine,Novitiate
Barcaldine,Solon,Ballyroe
Novitiate,Hermit,Retty
Hettie Sorrel,Peter,Venus' Looking Glass
Peter,Hermit,Lady Masham
Venus' Looking Glass,Speculum,Syringa
