名前,父,母
Bend Or,Doncaster,Rouge Rose
Doncaster,Stockwell,Marigold
Stockwell,The Baron,Pocahontas
The Baron,Birdcatcher,Echidna
Birdcatcher,Sir Hercules,Guiccioli
Echidna,Economist,Miss Pratt
Pocahontas,Glencoe,Marpessa
Glencoe,Sultan,Trampoline
Marpessa,Muley,Clare
Marigold,Teddington,Ratan Mare
Teddington,Orlando,Miss Twickenham
Orlando,Touchstone,Vulture
Miss Twickenham,Rockingham,Electress
Ratan Mare,Ratan,Melbourne Mare
Ratan,Buzzard,Picton Mare
Melbourne Mare,Melbourne,Lisbeth
Rouge Rose,Thormanby,Ellen Horne
Thormanby,Windhound,Alice Hawthorn
Windhound,Pantaloon,Phryne
Pantaloon,Castrel,Idalia
Phryne,Touchstone,Decoy
Alice Hawthorn,Muley Moloch,Rebecca
Muley Moloch,Muley,Nancy
Rebecca,Lottery,Cervantes Mare
Ellen Horne,Redshank,Delhi
Redshank,Sandbeck,Johanna
Sandbeck,Catton,Orvillina
Johanna,Selim,Skyscraper Mare
Delhi,Plenipotentiary,Pawn Junior
Plenipotentiary,Emilius,Harriet
Pawn Junior,Waxy,Pawn
