名前,父,母
Birdcatcher,Sir Hercules,Guiccioli
Sir Hercules,Whalebone,Peri
Whalebone,Waxy,Penelope
Waxy,Pot-8-Os,Maria III
Pot-8-Os,Eclipse,Sportsmistress
Maria III,Herod,Lisette
Penelope,Trumpator,Prunella
Trumpator,Conductor,Brunette
Prunella,Highflyer,Promise
Peri,Wanderer,Thalestris
Wanderer,Gohanna,Catherine
Gohanna,Mercury,Dundas Herod Mare
Catherine,Woodpecker,Camilla
Thalestris,Alexander,Rival
Alexander,Eclipse,Grecian Princess
Rival,Sir Peter Teazle,Hornet
Guiccioli,Bob Booty,Flight
Bob Booty,Chanticleer,Ierne
Chanticleer,Woodpecker,Eclipse Mare
Woodpecker,Herod,Miss Ramsden
Eclipse Mare,Eclipse,Rosebud
Ierne,Bagot,Gamahoe Mare
Bagot,Herod,Marotte
Gamahoe Mare,Gamahoe,Patty
Flight,Escape,Y. Heroine
Escape,Commodore,Moll in the Wad
Commodore,Tom Tug,Smallhopes
Moll in the Wad,Highflyer,Shift
Y. Heroine,Bagot,Heroine
Heroine,Hero,Snap Mare
