名前,父,母
Clarion,Djebel,Columba
Djebel,Tourbillon,Loika
Tourbillon,Ksar,Durban
Ksar,Bruleur,Kizil Kourgan
Bruleur,Chouberski,Basse Terre
Kizil Kourgan,Omnium,Kasbah
Durban,Durbar,Banshee
Durbar,Rabelais,Armenia
Banshee,Irish Lad,Frizette
Loika,Gay Crusader,Coeur a Coeur
Gay Crusader,Bayardo,Gay Laura
Bayardo,Bay Ronald,Galicia
Gay Laura,Beppo,Galeottia
Coeur a Coeur,Teddy,Ballantrae
Teddy,Ajax,Rondeau
Ballantrae,Ayrshire,Abeyance
Columba,Colorado,Gay Bird
Colorado,Phalaris,Canyon
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Bromus,Sainfoin,Cheery
Canyon,Chaucer,Glasalt
Chaucer,St. Simon,Canterbury Pilgrim
Glasalt,Isinglass,Broad Corrie
Gay Bird,Gay Crusader,Popinjay
Popinjay,St. Frusquin,Chelandry
St. Frusquin,St. Simon,Isabel
Chelandry,Goldfinch,Illuminata
