名前,父,母
Cyllene,Bona Vista,Arcadia
Bona Vista,Bend Or,Vista
Bend Or,Doncaster,Rouge Rose
Doncaster,Stockwell,Marigold
Stockwell,The Baron,Pocahontas
Marigold,Teddington,Ratan Mare
Rouge Rose,Thormanby,Ellen Horne
Thormanby,Windhound,Alice Hawthorn
Ellen Horne,Redshank,Delhi
Vista,Macaroni,Verdure
Macaroni,Sweetmeat,Jocose
Sweetmeat,Gladiator,Lollypop
Jocose,Pantaloon,Banter
Verdure,King Tom,May Bloom
King Tom,Harkaway,Pocahontas
May Bloom,Newminster,Lady Hawthorn
Arcadia,Isonomy,Distant Shore
Isonomy,Sterling,Isola Bella
Sterling,Oxford,Whisper
Oxford,Birdcatcher,Honey Dear
Whisper,Flatcatcher,Silence
Isola Bella,Stockwell,Isoline
Isoline,Ethelbert,Bassishaw
Distant Shore,Hermit,Land's End
Hermit,Newminster,Seclusion
Newminster,Touchstone,Beeswing
Seclusion,Tadmor,Miss Sellon
Land's End,Trumpeter,Faraway
Trumpeter,Orlando,Cavatina
Faraway,Young Melbourne,Maid of Masham
