名前,父,母
Doncaster,Stockwell,Marigold
Stockwell,The Baron,Pocahontas
The Baron,Birdcatcher,Echidna
Birdcatcher,Sir Hercules,Guiccioli
Sir Hercules,Whalebone,Peri
Guiccioli,Bob Booty,Flight
Echidna,Economist,Miss Pratt
Economist,Whisker,Floranthe
Miss Pratt,Blacklock,Gadabout
Pocahontas,Glencoe,Marpessa
Glencoe,Sultan,Trampoline
Sultan,Selim,Bacchante
Trampoline,Tramp,Web
Marpessa,Muley,Clare
Muley,Orville,Eleanor
Clare,Marmion,Harpalice
Marigold,Teddington,Ratan Mare
Teddington,Orlando,Miss Twickenham
Orlando,Touchstone,Vulture
Touchstone,Camel,Banter
Vulture,Langar,Kite
Miss Twickenham,Rockingham,Electress
Rockingham,Highflyer,Purity
Electress,Election,Stamford Mare
Ratan Mare,Ratan,Melbourne Mare
Ratan,Buzzard,Picton Mare
Buzzard,Woodpecker,Misfortune
Picton Mare,Picton,Selim Mare
Melbourne Mare,Melbourne,Lisbeth
Melbourne,Humphrey Clinker,Cervantes Mare
Lisbeth,Phantom,Elizabeth
