名前,父,母
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Nogara,Havresac,Catnip
Sun Princess,Solario,Mumtaz Begum
Solario,Gainsborough,Sun Worship
Mumtaz Begum,Blenheim,Mumtaz Mahal
Source Sucree,Admiral Drake,Lavendula
Admiral Drake,Craig an Eran,Plucky Liege
Craig an Eran,Sunstar,Maid of the Mist
Plucky Liege,Spearmint,Concertina
Lavendula,Pharos,Sweet Lavender
Sweet Lavender,Swynford,Marchetta
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Blue Larkspur,Black Servant,Blossom Time
Black Servant,Black Toney,Padula
Blossom Time,North Star,Vaila
Flaming Swords,Man o'War,Exalted
Man o'War,Fair Play,Mahubah
Exalted,High Time,Lady Comfey
Galla Colors,Sir Gallahad,Rouge et Noir
Sir Gallahad,Teddy,Plucky Liege
Teddy,Ajax,Rondeau
Rouge et Noir,St. Germans,Baton Rouge
St. Germans,Swynford,Hamoaze
Baton Rouge,Man o'War,Baton
