名前,父,母
Hambletonian,King Fergus,Grey Highflyer
King Fergus,Eclipse,Polly
Eclipse,Marske,Spilletta
Marske,Squirt,Hutton's Blacklegs Mare
Squirt,Bartlet's Childers,Snake Mare
Hutton's Blacklegs Mare,Hutton's Blacklegs,Bay Bolton Mare
Spilletta,Regulus,Mother Western
Regulus,ゴドルフィンバルブ,Grey Robinson
Mother Western,Easby Snake,Old Montagu Mare
Polly,Othello,Fanny
Othello,Crab,Miss Slamerkin
Crab,Alcock Arabian,Sister to Soreheels
Miss Slamerkin,Young True Blue,Dun Arabian Mare
Fanny,Tartar,Starling Mare
Tartar,Croft's Partner,Meliora
Starling Mare,Bolton Starling,Childers Mare
Grey Highflyer,Highflyer,Monimia
Highflyer,Herod,Rachel
Herod,Tartar,Cypron
Cypron,Blaze,Salome
Rachel,Blank,Regulus Mare
Blank,ゴドルフィンバルブ,Amorett
Regulus Mare,Regulus,Soreheels Mare
Monimia,Matchem,Alcides Mare
Matchem,Cade,Partner Mare
Cade,ゴドルフィンバルブ,Roxana
Partner Mare,Croft's Partner,Brown Farewell
Alcides Mare,Alcides,Crab Mare
Alcides,Babraham,unknown
Crab Mare,Crab,Fox Mare
