名前,父,母
Intent,War Relic,Liz F.
War Relic,Man o'War,Friar's Carse
Man o'War,Fair Play,Mahubah
Fair Play,Hastings,Fairy Gold
Hastings,Spendthrift,Cinderella
Fairy Gold,Bend Or,Dame Masham
Mahubah,Rock Sand,Merry Token
Rock Sand,Sainfoin,Roquebrune
Merry Token,Merry Hampton,Mizpah
Friar's Carse,Friar Rock,Problem
Friar Rock,Rock Sand,Fairy Gold
Problem,Superman,Query
Superman,Commando,Anomaly
Query,Voter,Quesal
Liz F.,Bubbling Over,Weno
Bubbling Over,North Star,Beaming Beauty
North Star,Sunstar,Angelic
Sunstar,Sundridge,Doris
Angelic,St.Angelo,Fota
Beaming Beauty,Sweep,Bellisario
Sweep,Ben Brush,Pink Domino
Bellisario,Hippodrome,Biturica
Weno,Whisk Broom,Rosie O'Grady
Whisk Broom,Broomstick,Audience
Broomstick,Ben Brush,Elf
Audience,Sir Dixon,Sallie McClelland
Rosie O'Grady,Hamburg,Cherokee Rose
Hamburg,Hanover,Lady Reel
Cherokee Rose,Peter Pan,Royal Rose
