名前,父,母
Kampala,Clarissimus,La Soupe
Clarissimus,Radium,Quintessence
Radium,Bend Or,Taia
Bend Or,Doncaster,Rouge Rose
Doncaster,Stockwell,Marigold
Rouge Rose,Thormanby,Ellen Horne
Taia,Donovan,Eira
Donovan,Galopin,Mowerina
Eira,Kisber,Aeolia
Quintessence,St. Frusquin,Margarine
St. Frusquin,St. Simon,Isabel
St. Simon,Galopin,St. Angela
Isabel,Plebeian,Parma
Margarine,Petrarch,Margarita
Petrarch,Lord Clifden,Laura
Margarita,The Duke,Tasmania
La Soupe,Prince Palatine,Hermosita
Prince Palatine,Persimmon,Lady Lightfoot
Persimmon,St. Simon,Perdita
Perdita,Hampton,Hermione
Lady Lightfoot,Isinglass,Glare
Isinglass,Isonomy,Dead Lock
Glare,Ayrshire,Footlight
Hermosita,Ajax,Tribonyx
Ajax,Flying Fox,Amie
Flying Fox,Orme,Vampire
Amie,Clamart,Alice
Tribonyx,Gallinule,Fervour
Gallinule,Isonomy,Moorhen
Fervour,Chippendale,Gisela
