名前,父,母
Kris S.,Roberto,Sharp Queen
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Source Sucree,Admiral Drake,Lavendula
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Galla Colors,Sir Gallahad,Rouge et Noir
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Nasrullah,Nearco,Mumtaz Begum
Segula,Johnstown,Sekhmet
Rarelea,Bull Lea,Bleebok
Bull Lea,Bull Dog,Rose Leaves
Bleebok,Blue Larkspur,Forteresse
Sharp Queen,Princequillo,Bridgework
Princequillo,Prince Rose,Cosquilla
Prince Rose,Rose Prince,Indolence
Rose Prince,Prince Palatine,Eglantine
Indolence,Gay Crusader,Barrier
Cosquilla,Papyrus,Quick Thought
Papyrus,Tracery,Miss Matty
Quick Thought,White Eagle,Mindful
Bridgework,Occupy,Feale Bridge
Occupy,Bull Dog,Miss Bunting
Bull Dog,Teddy,Plucky Liege
Miss Bunting,Bunting,Mirthful
Feale Bridge,Gold Bridge,Tolerate
Gold Bridge,Golden Boss,Flying Diadem
Tolerate,Essexford,Miss Tolka
