名前,父,母
Native Dancer,Polynesian,Geisha
Polynesian,Unbreakable,Black Polly
Unbreakable,Sickle,Blue Glass
Sickle,Phalaris,Selene
Phalaris,Polymelus,Bromus
Selene,Chaucer,Serenissima
Blue Glass,Prince Palatine,Hour Glass
Prince Palatine,Persimmon,Lady Lightfoot
Hour Glass,Rock Sand,Hautesse
Black Polly,Polymelian,Black Queen
Polymelian,Polymelus,Pasquita
Polymelus,Cyllene,Maid Marian
Pasquita,Sundridge,Pasquil
Black Queen,Pompey,Black Maria
Pompey,Sun Briar,Cleopatra
Black Maria,Black Toney,Bird Loose
Geisha,Discovery,Miyako
Discovery,Display,Ariadne
Display,Fair Play,Cicuta
Fair Play,Hastings,Fairy Gold
Cicuta,Nassovian,Hemlock
Ariadne,Light Brigade,Adrienne
Light Brigade,Picton,Bridge of Sighs
Adrienne,His Majesty,Adriana
Miyako,John P. Grier,La Chica
John P. Grier,Whisk Broom,Wonder
Whisk Broom,Broomstick,Audience
Wonder,Disguise,Curiosity
La Chica,Sweep,La Grisette
Sweep,Ben Brush,Pink Domino
La Grisette,Roi Herode,Miss Fiora
