名前,父,母
Pharos,Phalaris,Scapa Flow
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Cyllene,Bona Vista,Arcadia
Bona Vista,Bend Or,Vista
Arcadia,Isonomy,Distant Shore
Maid Marian,Hampton,Quiver
Hampton,Lord Clifden,Lady Langden
Quiver,Toxophilite,Young Melbourne Mare
Bromus,Sainfoin,Cheery
Sainfoin,Springfield,Sanda
Springfield,St. Albans,Viridis
Sanda,Wenlock,Sandal
Cheery,St. Simon,Sunrise
St. Simon,Galopin,St. Angela
Sunrise,Springfield,Sunray
Scapa Flow,Chaucer,Anchora
Chaucer,St. Simon,Canterbury Pilgrim
Galopin,Vedette,Flying Duchess
St. Angela,King Tom,Adeline
Canterbury Pilgrim,Tristan,Pilgrimage
Tristan,Hermit,Thrift
Pilgrimage,The Palmer,Lady Audley
Anchora,Love Wisely,Eryholme
Love Wisely,Wisdom,Lovelorn
Wisdom,Blinkhoolie,Aline
Lovelorn,Philammon,Gone
Eryholme,Hazlehatch,Ayrsmoss
Hazlehatch,Hermit,Hazledean
Ayrsmoss,Ayrshire,Rattlewings
