名前,父,母
Rose Prince,Prince Palatine,Eglantine
Prince Palatine,Persimmon,Lady Lightfoot
Persimmon,St. Simon,Perdita
St. Simon,Galopin,St. Angela
Galopin,Vedette,Flying Duchess
St. Angela,King Tom,Adeline
Perdita,Hampton,Hermione
Hampton,Lord Clifden,Lady Langden
Hermione,Young Melbourne,La Belle Helene
Lady Lightfoot,Isinglass,Glare
Isinglass,Isonomy,Dead Lock
Isonomy,Sterling,Isola Bella
Dead Lock,Wenlock,Malpractice
Glare,Ayrshire,Footlight
Ayrshire,Hampton,Atalanta
Footlight,Cremorne,Paraffin
Eglantine,Perth,Rose de Mai
Perth,War Dance,Primrose Dame
War Dance,Galliard,War Paint
Galliard,Galopin,Mavis
War Paint,Uncas,Piracy
Primrose Dame,Barcaldine,Lady Rosebery
Barcaldine,Solon,Ballyroe
Lady Rosebery,Lord Clifden,Violet
Rose de Mai,Callistrate,May Pole
Callistrate,Cambyse,Citronelle
Cambyse,Androcles,Cambuse
Citronelle,Mars,Bijou
May Pole,Silvio,Merry May
Silvio,Blair Athol,Silverhair
Merry May,Knight of the Garter,May Queen
