名前,父,母
Sickle,Phalaris,Selene
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Cyllene,Bona Vista,Arcadia
Bona Vista,Bend Or,Vista
Arcadia,Isonomy,Distant Shore
Maid Marian,Hampton,Quiver
Hampton,Lord Clifden,Lady Langden
Quiver,Toxophilite,Young Melbourne Mare
Bromus,Sainfoin,Cheery
Sainfoin,Springfield,Sanda
Springfield,St. Albans,Viridis
Sanda,Wenlock,Sandal
Cheery,St. Simon,Sunrise
St. Simon,Galopin,St. Angela
Sunrise,Springfield,Sunray
Selene,Chaucer,Serenissima
Chaucer,St. Simon,Canterbury Pilgrim
Galopin,Vedette,Flying Duchess
St. Angela,King Tom,Adeline
Canterbury Pilgrim,Tristan,Pilgrimage
Tristan,Hermit,Thrift
Pilgrimage,The Palmer,Lady Audley
Serenissima,Minoru,Gondolette
Minoru,Cyllene,Mother Siegel
Mother Siegel,Friar's Balsam,Galopin Mare
Gondolette,Loved One,Dongola
Loved One,See Saw,Pilgrimage
Dongola,Doncaster,Douranee
