名前,父,母
Sorcerer,Trumpator,Young Giantess
Trumpator,Conductor,Brunette
Conductor,Matchem,Snap Mare
Matchem,Cade,Partner Mare
Cade,ゴドルフィンバルブ,Roxana
Partner Mare,Croft's Partner,Brown Farewell
Snap Mare,Snap,Diana
Snap,Snip,Sister to Slipby
Diana,Cullen Arabian,Grisewood's Lady Thigh
Brunette,Squirrel,Dove
Squirrel,Traveller,Grey Bloody Buttocks
Traveller,Croft's Partner,Sister to Spinner
Grey Bloody Buttocks,Bloody Buttocks,Greyhound Mare
Dove,Matchless,Starling Mare
Matchless,ゴドルフィンバルブ,Soreheels Mare
Starling Mare,Ancaster Starling,Young Look at Me Lads
Young Giantess,Diomed,Giantess
Diomed,Florizel,Sister to Juno
Florizel,Herod,Cygnet Mare
Herod,Tartar,Cypron
Cygnet Mare,Cygnet,Young Cartouch Mare
Sister to Juno,Spectator,Horatia
Spectator,Crab,Partner Mare
Horatia,Blank,Sister One to Steady
Giantess,Matchem,Molly Long Legs
Molly Long Legs,Babraham,Foxhunter Mare
Babraham,ゴドルフィンバルブ,Sachrissa
Foxhunter Mare,Coles Foxhunter,Partner Mare
