名前,父,母
The Baron,Birdcatcher,Echidna
Birdcatcher,Sir Hercules,Guiccioli
Sir Hercules,Whalebone,Peri
Whalebone,Waxy,Penelope
Waxy,Pot-8-Os,Maria III
Penelope,Trumpator,Prunella
Peri,Wanderer,Thalestris
Wanderer,Gohanna,Catherine
Thalestris,Alexander,Rival
Guiccioli,Bob Booty,Flight
Bob Booty,Chanticleer,Ierne
Chanticleer,Woodpecker,Eclipse Mare
Ierne,Bagot,Gamahoe Mare
Flight,Escape,Y. Heroine
Escape,Commodore,Moll in the Wad
Y. Heroine,Bagot,Heroine
Echidna,Economist,Miss Pratt
Economist,Whisker,Floranthe
Whisker,Waxy,Penelope
Floranthe,Octavian,Caprice
Octavian,Stripling,Oberon Mare
Caprice,Anvil,Madcap
Miss Pratt,Blacklock,Gadabout
Blacklock,Whitelock,Coriander Mare
Whitelock,Hambletonian,Rosalind
Coriander Mare,Coriander,Wildgoose
Gadabout,Orville,Minstrel
Orville,Beningbrough,Evelina
Minstrel,Sir Peter Teazle,Matron
