名前,父,母
Androcles,Dollar,Alabama
Dollar,The Flying Dutchman,Payment
The Flying Dutchman,Bay Middleton,Barbelle
Bay Middleton,Sultan,Cobweb
Sultan,Selim,Bacchante
Cobweb,Phantom,Filagree
Barbelle,Sandbeck,Darioletta
Sandbeck,Catton,Orvillina
Darioletta,Amadis,Selima
Payment,Slane,Receipt
Slane,Royal Oak,Orville Mare
Royal Oak,Catton,Smolensko Mare
Orville Mare,Orville,Rosanne
Receipt,Rowton,Sam Mare
Rowton,Oiseau,Katherina
Sam Mare,Sam,Morel
Alabama,Serious,Admiralty
Serious,Tory,Semiseria
Tory,Defence,Sentiment
Defence,Whalebone,Defiance
Sentiment,Selim,Louisa
Semiseria,Voltaire,Comedy
Voltaire,Blacklock,Phantom Mare
Comedy,Comus,Star Mare
Admiralty,Collingwood,Blackbird
Collingwood,Sheet Anchor,Kalmia
Sheet Anchor,Lottery,Morgiana
Kalmia,Magistrate,Zephyrina
Blackbird,Plenipotentiary,Volage
Plenipotentiary,Emilius,Harriet
Volage,Waverley,Catton Mare
