名前,父,母
Dollar,The Flying Dutchman,Payment
The Flying Dutchman,Bay Middleton,Barbelle
Bay Middleton,Sultan,Cobweb
Sultan,Selim,Bacchante
Selim,Buzzard,Alexander Mare
Bacchante,Williamson's Ditto,Mercury Mare
Cobweb,Phantom,Filagree
Phantom,Walton,Julia
Filagree,Soothsayer,Web
Barbelle,Sandbeck,Darioletta
Sandbeck,Catton,Orvillina
Catton,Golumpus,Lucy Gray
Orvillina,Beningbrough,Evelina
Darioletta,Amadis,Selima
Amadis,Don Quixote,Fanny
Selima,Selim,Pot-8-Os Mare
Payment,Slane,Receipt
Slane,Royal Oak,Orville Mare
Royal Oak,Catton,Smolensko Mare
Smolensko Mare,Smolensko,Lady Mary
Orville Mare,Orville,Rosanne
Orville,Beningbrough,Evelina
Rosanne,Dick Andrews,Rosette
Receipt,Rowton,Sam Mare
Rowton,Oiseau,Katherina
Oiseau,Camillus,Ruler Mare
Katherina,Woful,Landscape
Sam Mare,Sam,Morel
Sam,Scud,Hyale
Morel,Sorcerer,Hornby Lass
