名前,父,母
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Polynesian,Unbreakable,Black Polly
Geisha,Discovery,Miyako
Raise You,Case Ace,Lady Glory
Case Ace,Teddy,Sweetheart
Lady Glory,American Flag,Beloved
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Nasrullah,Nearco,Mumtaz Begum
Segula,Johnstown,Sekhmet
Sequence,Count Fleet,Miss Dogwood
Count Fleet,Reigh Count,Quickly
Miss Dogwood,Bull Dog,Myrtlewood
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Special,Forli,Thong
Forli,Aristophanes,Trevisa
Thong,Nantallah,Rough Shod
Pasadoble,Prove Out,Santa Quilla
Prove Out,Graustark,Equal Venture
Graustark,Ribot,Flower Bowl
Equal Venture,Bold Venture,Igual
Santa Quilla,Sanctus,Neriad
Sanctus,Fine Top,Sanelta
Neriad,Princequillo,Sea Change
