名前,父,母
Le Samaritain,Le Sancy,Clementina
Le Sancy,Atlantic,Gem of Gems
Atlantic,Thormanby,Hurricane
Thormanby,Windhound,Alice Hawthorn
Windhound,Pantaloon,Phryne
Alice Hawthorn,Muley Moloch,Rebecca
Hurricane,Wild Dayrell,Midia
Wild Dayrell,Ion,Ellen Middleton
Midia,Scutari,Marinella
Gem of Gems,Strathconan,Poinsettia
Strathconan,Newminster,Souvenir
Newminster,Touchstone,Beeswing
Souvenir,Chanticleer,Birthday
Poinsettia,Young Melbourne,Lady Hawthorn
Young Melbourne,Melbourne,Clarissa
Lady Hawthorn,Windhound,Alice Hawthorn
Clementina,Doncaster,Clemence
Doncaster,Stockwell,Marigold
Stockwell,The Baron,Pocahontas
The Baron,Birdcatcher,Echidna
Pocahontas,Glencoe,Marpessa
Marigold,Teddington,Ratan Mare
Teddington,Orlando,Miss Twickenham
Ratan Mare,Ratan,Melbourne Mare
Clemence,Newminster,Eulogy
Touchstone,Camel,Banter
Beeswing,Doctor Syntax,Ardrossan Mare
Eulogy,Euclid,Martha Lynn
Euclid,Emilius,Maria
Martha Lynn,Mulatto,Leda
