名前,父,母
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Polynesian,Unbreakable,Black Polly
Unbreakable,Sickle,Blue Glass
Black Polly,Polymelian,Black Queen
Geisha,Discovery,Miyako
Discovery,Display,Ariadne
Miyako,John P. Grier,La Chica
Raise You,Case Ace,Lady Glory
Case Ace,Teddy,Sweetheart
Teddy,Ajax,Rondeau
Sweetheart,Ultimus,Humanity
Lady Glory,American Flag,Beloved
American Flag,Man o'War,Lady Comfey
Beloved,Whisk Broom,Bill and Coo
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Nasrullah,Nearco,Mumtaz Begum
Nearco,Pharos,Nogara
Mumtaz Begum,Blenheim,Mumtaz Mahal
Segula,Johnstown,Sekhmet
Johnstown,Jamestown,La France
Sekhmet,Sardanapale,Prosopopee
Sequence,Count Fleet,Miss Dogwood
Count Fleet,Reigh Count,Quickly
Reigh Count,Sunreigh,Contessina
Quickly,Haste,Stephanie
Miss Dogwood,Bull Dog,Myrtlewood
Bull Dog,Teddy,Plucky Liege
Myrtlewood,Blue Larkspur,Frizeur
