名前,父,母
Pantaloon,Castrel,Idalia
Castrel,Buzzard,Alexander Mare
Buzzard,Woodpecker,Misfortune
Woodpecker,Herod,Miss Ramsden
Herod,Tartar,Cypron
Miss Ramsden,Cade,Lonsdale Bay Arabian Mare
Misfortune,Dux,Curiosity
Dux,Matchem,Duchess
Curiosity,Snap,Regulus Mare
Alexander Mare,Alexander,Highflyer Mare
Alexander,Eclipse,Grecian Princess
Eclipse,Marske,Spilletta
Grecian Princess,William's Forester,Coalition Colt Mare
Highflyer Mare,Highflyer,Alfred Mare
Highflyer,Herod,Rachel
Alfred Mare,Alfred,Engineer Mare
Idalia,Peruvian,Musidora
Peruvian,Sir Peter Teazle,Boudrow Mare
Sir Peter Teazle,Highflyer,Papillon
Papillon,Snap,Miss Cleveland
Boudrow Mare,Boudrow,Squirrel Mare
Boudrow,Eclipse,Sweeper Mare
Squirrel Mare,Squirrel,Babraham Mare
Musidora,Meteor,Maid of All Work
Meteor,Eclipse,Merlin Mare
Merlin Mare,Merlin,Mother Pratt
Maid of All Work,Highflyer,Syphon Mare
Syphon Mare,Syphon,Regulus Mare
