名前,父,母
Polynesian,Unbreakable,Black Polly
Unbreakable,Sickle,Blue Glass
Sickle,Phalaris,Selene
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Bromus,Sainfoin,Cheery
Selene,Chaucer,Serenissima
Chaucer,St. Simon,Canterbury Pilgrim
Serenissima,Minoru,Gondolette
Blue Glass,Prince Palatine,Hour Glass
Prince Palatine,Persimmon,Lady Lightfoot
Persimmon,St. Simon,Perdita
Lady Lightfoot,Isinglass,Glare
Hour Glass,Rock Sand,Hautesse
Rock Sand,Sainfoin,Roquebrune
Hautesse,Archiduc,Hauteur
Black Polly,Polymelian,Black Queen
Polymelian,Polymelus,Pasquita
Cyllene,Bona Vista,Arcadia
Maid Marian,Hampton,Quiver
Pasquita,Sundridge,Pasquil
Sundridge,Amphion,Sierra
Pasquil,Plebeian,Pasquinette
Black Queen,Pompey,Black Maria
Pompey,Sun Briar,Cleopatra
Sun Briar,Sundridge,Sweet Briar
Cleopatra,Corcyra,Gallice
Black Maria,Black Toney,Bird Loose
Black Toney,Peter Pan,Belgravia
Bird Loose,Sardanapale,Poule au Pot
