名前,父,母
Precious Lady,Requested,Albania
Requested,Questionnaire,Fair Perdita
Questionnaire,Sting,Miss Puzzle
Sting,Spur,Gnat
Spur,King James,Auntie Mum
Gnat,Voter,Mosquito
Miss Puzzle,Disguise,Ruby Nethersole
Disguise,Domino,Bonnie Gal
Ruby Nethersole,Star Ruby,Nethersole
Fair Perdita,Eternal,Lady Wave
Eternal,Sweep,Hazel Burke
Sweep,Ben Brush,Pink Domino
Hazel Burke,Sempronius,Retained
Lady Wave,Blink,Sandlemac
Blink,Sunstar,Winkipop
Sandlemac,Uncle Mac,Graceful Girl
Albania,Bull Dog,Cristar
Bull Dog,Teddy,Plucky Liege
Teddy,Ajax,Rondeau
Ajax,Flying Fox,Amie
Rondeau,Bay Ronald,Doremi
Plucky Liege,Spearmint,Concertina
Spearmint,Carbine,Maid of the Mint
Concertina,St. Simon,Comic Song
Cristar,North Star,Cri de Coeur
North Star,Sunstar,Angelic
Sunstar,Sundridge,Doris
Angelic,St.Angelo,Fota
Cri de Coeur,Fair Play,Toggery
Fair Play,Hastings,Fairy Gold
Toggery,Rock Sand,Tea's Over
