名前,父,母
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Polynesian,Unbreakable,Black Polly
Unbreakable,Sickle,Blue Glass
Sickle,Phalaris,Selene
Blue Glass,Prince Palatine,Hour Glass
Black Polly,Polymelian,Black Queen
Polymelian,Polymelus,Pasquita
Black Queen,Pompey,Black Maria
Geisha,Discovery,Miyako
Discovery,Display,Ariadne
Display,Fair Play,Cicuta
Ariadne,Light Brigade,Adrienne
Miyako,John P. Grier,La Chica
John P. Grier,Whisk Broom,Wonder
La Chica,Sweep,La Grisette
Raise You,Case Ace,Lady Glory
Case Ace,Teddy,Sweetheart
Teddy,Ajax,Rondeau
Ajax,Flying Fox,Amie
Rondeau,Bay Ronald,Doremi
Sweetheart,Ultimus,Humanity
Ultimus,Commando,Running Stream
Humanity,Voter,Red Cross
Lady Glory,American Flag,Beloved
American Flag,Man o'War,Lady Comfey
Man o'War,Fair Play,Mahubah
Lady Comfey,Roi Herode,Snoot
Beloved,Whisk Broom,Bill and Coo
Whisk Broom,Broomstick,Audience
Bill and Coo,Helmet,Padula
