名前,父,母
Royal Charger,Nearco,Sun Princess
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Bromus,Sainfoin,Cheery
Scapa Flow,Chaucer,Anchora
Chaucer,St. Simon,Canterbury Pilgrim
Anchora,Love Wisely,Eryholme
Nogara,Havresac,Catnip
Havresac,Rabelais,Hors Concours
Rabelais,St. Simon,Satirical
Hors Concours,Ajax,Simona
Catnip,Spearmint,Sibola
Spearmint,Carbine,Maid of the Mint
Sibola,The Sailor Prince,Saluda
Sun Princess,Solario,Mumtaz Begum
Solario,Gainsborough,Sun Worship
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Rosedrop,St. Frusquin,Rosaline
Sun Worship,Sundridge,Doctrine
Sundridge,Amphion,Sierra
Doctrine,Ayrshire,Axiom
Mumtaz Begum,Blenheim,Mumtaz Mahal
Blenheim,Blandford,Malva
Blandford,Swynford,Blanche
Malva,Charles O'Malley,Wild Arum
Mumtaz Mahal,The Tetrarch,Lady Josephine
The Tetrarch,Roi Herode,Vahren
Lady Josephine,Sundridge,Americus Girl
