名前,父,母
Selim,Buzzard,Alexander Mare
Buzzard,Woodpecker,Misfortune
Woodpecker,Herod,Miss Ramsden
Herod,Tartar,Cypron
Tartar,Croft's Partner,Meliora
Cypron,Blaze,Salome
Miss Ramsden,Cade,Lonsdale Bay Arabian Mare
Cade,ゴドルフィンバルブ,Roxana
Lonsdale Bay Arabian Mare,Lonsdale Bay Arabian,Bay Bolton Mare
Misfortune,Dux,Curiosity
Dux,Matchem,Duchess
Matchem,Cade,Partner Mare
Duchess,Whitenose[Portmore's],Miss Slamerkin
Curiosity,Snap,Regulus Mare
Snap,Snip,Sister to Slipby
Regulus Mare,Regulus,Dam of Miss Belsea
Alexander Mare,Alexander,Highflyer Mare
Alexander,Eclipse,Grecian Princess
Eclipse,Marske,Spilletta
Marske,Squirt,Hutton's Blacklegs Mare
Spilletta,Regulus,Mother Western
Grecian Princess,William's Forester,Coalition Colt Mare
William's Forester,Croft's Forester,Looby Mare
Coalition Colt Mare,Coalition Colt,Bustard Mare
Highflyer Mare,Highflyer,Alfred Mare
Highflyer,Herod,Rachel
Rachel,Blank,Regulus Mare
Alfred Mare,Alfred,Engineer Mare
Alfred,Matchem,Snap Mare
Engineer Mare,Engineer,Cade Mare
