名前,父,母
Unbreakable,Sickle,Blue Glass
Sickle,Phalaris,Selene
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Cyllene,Bona Vista,Arcadia
Maid Marian,Hampton,Quiver
Bromus,Sainfoin,Cheery
Sainfoin,Springfield,Sanda
Cheery,St. Simon,Sunrise
Selene,Chaucer,Serenissima
Chaucer,St. Simon,Canterbury Pilgrim
St. Simon,Galopin,St. Angela
Canterbury Pilgrim,Tristan,Pilgrimage
Serenissima,Minoru,Gondolette
Minoru,Cyllene,Mother Siegel
Gondolette,Loved One,Dongola
Blue Glass,Prince Palatine,Hour Glass
Prince Palatine,Persimmon,Lady Lightfoot
Persimmon,St. Simon,Perdita
Perdita,Hampton,Hermione
Lady Lightfoot,Isinglass,Glare
Isinglass,Isonomy,Dead Lock
Glare,Ayrshire,Footlight
Hour Glass,Rock Sand,Hautesse
Rock Sand,Sainfoin,Roquebrune
Roquebrune,St. Simon,St. Marguerite
Hautesse,Archiduc,Hauteur
Archiduc,Consul,The Abbess
Hauteur,Rosicrucian,Hawthorndale
