名前,父,母
Waxy,Pot-8-Os,Maria III
Pot-8-Os,Eclipse,Sportsmistress
Eclipse,Marske,Spilletta
Marske,Squirt,Hutton's Blacklegs Mare
Squirt,Bartlet's Childers,Snake Mare
Hutton's Blacklegs Mare,Hutton's Blacklegs,Bay Bolton Mare
Spilletta,Regulus,Mother Western
Regulus,ゴドルフィンバルブ,Grey Robinson
Mother Western,Easby Snake,Old Montagu Mare
Sportsmistress,Sportsman,Golden Locks
Sportsman,Cade,Silvertail
Cade,ゴドルフィンバルブ,Roxana
Silvertail,Heneages Whitenose,Rattle Mare
Golden Locks,Oroonoko,Crab Mare
Oroonoko,Crab,Miss Slamerkin
Crab Mare,Crab,Partner Mare
Maria III,Herod,Lisette
Herod,Tartar,Cypron
Tartar,Croft's Partner,Meliora
Croft's Partner,Jigg,Sister One to Mixbury
Meliora,Fox,Witty's Milkmaid
Cypron,Blaze,Salome
Blaze,Flying Childers,Confederate Filly
Salome,Bethell's Arabian,Champion mare
Lisette,Snap,Miss Windsor
Snap,Snip,Sister to Slipby
Snip,Flying Childers,Sister to Soreheels
Sister to Slipby,Fox,Gipsy
Miss Windsor,ゴドルフィンバルブ,Young Belgrade Mare
ゴドルフィンバルブ,unknown,unknown
Young Belgrade Mare,Young Belgrade,Wyvills Childers Mare
