名前,父,母
Androcles,Dollar,Alabama
Dollar,The Flying Dutchman,Payment
The Flying Dutchman,Bay Middleton,Barbelle
Bay Middleton,Sultan,Cobweb
Sultan,Selim,Bacchante
Cobweb,Phantom,Filagree
Barbelle,Sandbeck,Darioletta
Sandbeck,Catton,Orvillina
Darioletta,Amadis,Selima
Payment,Slane,Receipt
Slane,Royal Oak,Orville Mare
Royal Oak,Catton,Smolensko Mare
Orville Mare,Orville,Rosanne
Receipt,Rowton,Sam Mare
Rowton,Oiseau,Katherina
Sam Mare,Sam,Morel
Alabama,Serious,Admiralty
Serious,Tory,Semiseria
Tory,Defence,Sentiment
Defence,Whalebone,Defiance
Sentiment,Selim,Louisa
Semiseria,Voltaire,Comedy
Voltaire,Blacklock,Phantom Mare
Comedy,Comus,Star Mare
Admiralty,Collingwood,Blackbird
Collingwood,Sheet Anchor,Kalmia
Sheet Anchor,Lottery,Morgiana
Kalmia,Magistrate,Zephyrina
Blackbird,Plenipotentiary,Volage
Plenipotentiary,Emilius,Harriet
Volage,Waverley,Catton Mare
Artist's Proof,Gainsborough,Clear Evidence
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Bay Ronald,Hampton,Black Duchess
Hampton,Lord Clifden,Lady Langden
Black Duchess,Galliard,Black Corrie
Galicia,Galopin,Isoletta
Galopin,Vedette,Flying Duchess
Isoletta,Isonomy,Lady Muncaster
Rosedrop,St. Frusquin,Rosaline
St. Frusquin,St. Simon,Isabel
St. Simon,Galopin,St. Angela
Isabel,Plebeian,Parma
Rosaline,Trenton,Rosalys
Trenton,Musket,Frailty
Rosalys,Bend Or,Rosa May
Clear Evidence,Tracery,Honora
Tracery,Rock Sand,Topiary
Rock Sand,Sainfoin,Roquebrune
Sainfoin,Springfield,Sanda
Roquebrune,St. Simon,St. Marguerite
Topiary,Orme,Plaisanterie
Orme,Ormonde,Angelica
Plaisanterie,Wellingtonia,Poetess
Honora,Gallinule,Word of Honour
Gallinule,Isonomy,Moorhen
Isonomy,Sterling,Isola Bella
Moorhen,Hermit,Skirmisher Mare
Word of Honour,Saraband,Geheimniss
Saraband,Muncaster,Highland Fling
Geheimniss,Rosicrucian,Nameless
Aurora,Hyperion,Rose Red
Hyperion,Gainsborough,Selene
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Bay Ronald,Hampton,Black Duchess
Galicia,Galopin,Isoletta
Rosedrop,St. Frusquin,Rosaline
St. Frusquin,St. Simon,Isabel
Rosaline,Trenton,Rosalys
Selene,Chaucer,Serenissima
Chaucer,St. Simon,Canterbury Pilgrim
St. Simon,Galopin,St. Angela
Canterbury Pilgrim,Tristan,Pilgrimage
Serenissima,Minoru,Gondolette
Minoru,Cyllene,Mother Siegel
Gondolette,Loved One,Dongola
Rose Red,Swynford,Marchetta
Swynford,John o'Gaunt,Canterbury Pilgrim
John o'Gaunt,Isinglass,La Fleche
Isinglass,Isonomy,Dead Lock
La Fleche,St. Simon,Quiver
Tristan,Hermit,Thrift
Pilgrimage,The Palmer,Lady Audley
Marchetta,Marco,Hettie Sorrel
Marco,Barcaldine,Novitiate
Barcaldine,Solon,Ballyroe
Novitiate,Hermit,Retty
Hettie Sorrel,Peter,Venus' Looking Glass
Peter,Hermit,Lady Masham
Venus' Looking Glass,Speculum,Syringa
Bartlet's Childers,ダーレーアラビアン,Betty Leedes
ダーレーアラビアン,unknown,unknown
unknown,unknown,unknown
Betty Leedes,Old Careless,Cream Cheeks
Old Careless,Spanker,unknown
Spanker,D'Arcy's Yellow Turk,Old Morocco Mare
D'Arcy's Yellow Turk,unknown,unknown
Old Morocco Mare,Fairfax Morocco Barb,Old Bald Peg
Cream Cheeks,Leedes Arabian,Spanker Mare
Leedes Arabian,unknown,unknown
Spanker Mare,Spanker,Old Morocco Mare
Bayardo,Bay Ronald,Galicia
