名前,父,母
イクノディクタス,ディクタス,ダイナランディング
ディクタス,Sanctus,Doronic
Sanctus,Fine Top,Sanelta
Fine Top,Fine Art,Toupie
Fine Art,Artist's Proof,Finnoise
Toupie,Vatellor,Tarentella
Sanelta,Tourment,Satanella
Tourment,Tourbillon,Fragment
Satanella,Mahmoud,Avella
Doronic,Worden,Dulzetta
Worden,Wild Risk,Sans Tares
Wild Risk,Rialto,Wild Violet
Sans Tares,Sind,Tara
Dulzetta,Bozzetto,Dulcimer
Bozzetto,Pharos,Bunworry
Dulcimer,Donatello,Dulce
ダイナランディング,ノーザンテースト,ナイスランディング
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
ナイスランディング,First Landing,Pashmina
First Landing,Turn-to,Hildene
Turn-to,Royal Charger,Source Sucree
Hildene,Bubbling Over,Fancy Racket
Pashmina,Le Pacha,Perfume
Le Pacha,Biribi,Advertencia
Perfume,Badruddin,Lavendula
