名前,父,母
ウオッカ,タニノギムレット,タニノシスター
タニノギムレット,ブライアンズタイム,タニノクリスタル
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Bramalea,Nashua,Rarelea
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Golden Trail,Hasty Road,Sunny Vale
タニノクリスタル,クリスタルパレス,タニノシーバード
クリスタルパレス,Caro,Hermieres
Caro,フォルティノ,Chambord
Hermieres,Sicambre,Vieille Pierre
タニノシーバード,Sea-Bird,Flaxen
Sea-Bird,Dan Cupid,Sicalade
Flaxen,Graustark,Flavia
タニノシスター,ルション,エナジートウショウ
ルション,Riverman,ベルドリーヌ
Riverman,Never Bend,River Lady
Never Bend,Nasrullah,Lalun
River Lady,Prince John,Nile Lily
ベルドリーヌ,Marshua's Dancer,Palsy Walsy
Marshua's Dancer,Raise a Native,Marshua
Palsy Walsy,Sea O Erin,Allie's Pal
エナジートウショウ,トウショウボーイ,コーニストウショウ
トウショウボーイ,テスコボーイ,ソシアルバターフライ
テスコボーイ,Princely Gift,Suncourt
ソシアルバターフライ,Your Host,Wisteria
コーニストウショウ,ダンディルート,ローズトウショウ
ダンディルート,Luthier,Dentrelic
ローズトウショウ,テューダーペリオッド,ワカシラオキ
