名前,父,母
カツラギエース,ボイズィーボーイ,タニノベンチヤ
ボイズィーボーイ,King's Troop,Rising Hope
King's Troop,Princely Gift,Equiria
Princely Gift,Nasrullah,Blue Gem
Nasrullah,Nearco,Mumtaz Begum
Blue Gem,Blue Peter,Sparkle
Equiria,Atout Maitre,Epona
Atout Maitre,Vatout,Royal Mistress
Epona,Portlaw,Jury
Rising Hope,The Phoenix,Admirable
The Phoenix,Chateau Bouscaut,Fille de Poete
Chateau Bouscaut,Kircubbin,Ramondie
Fille de Poete,Firdaussi,Fille d'Amour
Admirable,Nearco,Silvia
Nearco,Pharos,Nogara
Silvia,Craig an Eran,Angela
タニノベンチヤ,ヴェンチア,アベイブリッジ
ヴェンチア,Relic,Rose O'Lynn
Relic,War Relic,Bridal Colors
War Relic,Man o'War,Friar's Carse
Bridal Colors,Black Toney,Vaila
Rose O'Lynn,Pherozshah,Rocklyn
Pherozshah,Pharos,Mah Mahal
Rocklyn,Easton,Rock Forrard
アベイブリッジ,Entente Cordiale,British Railways
Entente Cordiale,Djebel,Herringbone
Djebel,Tourbillon,Loika
Herringbone,King Salmon,Schiaparelli
British Railways,Umidwar,Euston
Umidwar,Blandford,Uganda
Euston,Easton,Flinders
