名前,父,母
キセキ,ルーラーシップ,ブリッツフィナーレ
ルーラーシップ,キングカメハメハ,エアグルーヴ
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Miesque,Nureyev,Pasadoble
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
Pilot Bird,Blakeney,The Dancer
エアグルーヴ,トニービン,ダイナカール
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Severn Bridge,Hornbeam,Priddy Fair
ダイナカール,ノーザンテースト,シャダイフェザー
ノーザンテースト,Northern Dancer,Lady Victoria
シャダイフェザー,ガーサント,パロクサイド
ブリッツフィナーレ,ディープインパクト,ロンドンブリッジ
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Burghclere,Busted,Highclere
ロンドンブリッジ,ドクターデヴィアス,オールフォーロンドン
ドクターデヴィアス,Ahonoora,Rose of Jericho
Ahonoora,Lorenzaccio,Helen Nichols
Rose of Jericho,Alleged,Rose Red
オールフォーロンドン,Danzig,Full Card
Danzig,Northern Dancer,Pas de Nom
Full Card,Damascus,Belle of the Ball
