名前,父,母
クロノジェネシス,バゴ,クロノロジスト
バゴ,Nashwan,Moonlight's Box
Nashwan,Blushing Groom,Height of Fashion
Blushing Groom,Red God,Runaway Bride
Red God,Nasrullah,Spring Run
Runaway Bride,Wild Risk,Aimee
Height of Fashion,Bustino,Highclere
Bustino,Busted,Ship Yard
Highclere,Queen's Hussar,Highlight
Moonlight's Box,Nureyev,Coup de Genie
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Coup de Genie,Mr. Prospector,Coup de Folie
Mr. Prospector,Raise a Native,Gold Digger
Coup de Folie,Halo,Raise the Standard
クロノロジスト,クロフネ,インディスユニゾン
クロフネ,フレンチデピュティ,ブルーアヴェニュー
フレンチデピュティ,Deputy Minister,Mitterand
Deputy Minister,Vice Regent,Mint Copy
Mitterand,Hold Your Peace,Laredo Lass
ブルーアヴェニュー,Classic Go Go,Eliza Blue
Classic Go Go,Pago Pago,Classic Perfection
Eliza Blue,Icecapade,コレラ
インディスユニゾン,サンデーサイレンス,ラスティックベル
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ラスティックベル,Mr. Prospector,Ragtime Girl
Ragtime Girl,Francis S.,Swinging Doll
