名前,父,母
ゴールドアリュール,サンデーサイレンス,ニキーヤ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
ニキーヤ,Nureyev,Reluctant Guest
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Special,Forli,Thong
Forli,Aristophanes,Trevisa
Thong,Nantallah,Rough Shod
Reluctant Guest,Hostage,Vaguely Royal
Hostage,Nijinsky,Entente
Nijinsky,Northern Dancer,Flaming Page
Entente,Val de Loir,Her Honor
Vaguely Royal,Vaguely Noble,Shoshanna
Vaguely Noble,ヴィエナ,Noble Lassie
Shoshanna,Never Bend,Cherokee Rose
